acc0	acc1	acc2	gyro0	gyro1	gyro2	mag0	mag1	mag2	x	y	z	beta	Qx	Qy	Qz	Qw	delta_t	delta_x	delta_y	delta_z
-0.0529	-0.1277	-0.0463	-0.0489	0.0249	0.0208	-0.5032	-0.7221	-0.7033	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0846	0.0	0.0	0.0
0.0161	-0.0507	0.0037	-0.0142	-0.049	-0.0016	-0.4514	-0.7494	-0.6374	-0.582	0.221	0.402	-0.013	0.005	0.02	0.001	1.0	0.5202	0.0	0.0	0.0
0.0151	0.0993	0.0867	-0.0182	-0.0062	-0.0046	-0.5032	-0.6674	-0.5604	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0963	0.0	0.0	0.0
0.0291	-0.0257	-0.0013	0.0	-0.0023	0.0051	-0.581	-0.6128	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.4131	0.0	0.0	0.0
0.0291	0.0513	-0.0153	-0.0119	0.0054	0.026	-0.6069	-0.5854	-0.3297	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0846	0.0	0.0	0.0
-0.0389	-0.0057	-0.0333	-0.0245	0.0428	0.0385	-0.5162	-0.7084	-0.4945	-0.582	0.221	0.402	-0.0127	0.006	0.02	0.0	1.0	0.0882	0.0	0.0	0.0
-0.0669	0.0243	0.0137	0.0233	0.0249	0.0245	-0.5162	-0.7221	-0.4286	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.4221	0.0	0.0	0.0
-0.0069	-0.0087	0.0127	0.0011	-0.0312	0.012	-0.4903	-0.7358	-0.6703	-0.582	0.221	0.402	-0.0127	0.006	0.02	0.0	1.0	0.09	0.0	0.0	0.0
0.0071	0.0033	0.0077	0.0398	-0.0771	0.0183	-0.5421	-0.6811	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.3195	0.0	0.0	0.0
0.0291	0.0123	-0.0013	0.004	-0.0156	0.0128	-0.4903	-0.7494	-0.5604	-0.582	0.221	0.402	-0.0132	0.005	0.021	0.0	1.0	0.2299	0.0	0.0	0.0
-0.0499	0.0063	-0.0143	-0.0011	-0.021	0.0157	-0.5421	-0.6811	-0.5934	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.081	0.0	0.0	0.0
0.0051	-0.0267	-0.0193	-0.0552	0.0023	-0.0181	-0.5032	-0.6674	-0.6374	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.1791	0.0	0.0	0.0
-0.0399	0.0393	0.0047	-0.0114	0.0094	-0.005	-0.568	-0.6401	-0.4286	-0.582	0.221	0.402	-0.0132	0.005	0.021	0.0	1.0	0.081	0.0	0.0	0.0
-0.0439	-0.0187	0.0067	-0.0427	-0.0405	-0.018	-0.5162	-0.7221	-0.4615	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	0.081	0.0	0.0	0.0
0.0021	-0.0347	-0.0053	-0.0245	0.0498	-0.0361	-0.4903	-0.6948	-0.6374	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.3501	0.0	0.0	0.0
-0.0079	-0.0507	0.0107	0.0188	0.0755	-0.0489	-0.4903	-0.7358	-0.6374	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.001	1.0	0.09	0.0	0.0	0.0
-0.0569	0.0233	0.0057	0.004	0.0226	-0.0455	-0.581	-0.6264	-0.4945	-0.582	0.221	0.402	-0.0138	0.005	0.022	0.002	1.0	0.0801	0.0	0.0	0.0
0.0811	0.0233	0.0157	0.0125	-0.0319	0.0782	-0.5421	-0.6538	-0.3956	-0.578	0.221	0.403	-0.0115	0.007	0.018	-0.001	1.0	0.486	0.4	0.0	0.1
-0.0049	0.0823	0.0107	-0.0154	0.0677	0.0632	-0.5292	-0.7221	-0.5604	-0.577	0.221	0.403	0.5201	0.717	-0.129	0.685	-0.002	0.0801	0.1	0.0	0.0
-0.0119	0.0713	0.0257	-0.0529	0.0981	-0.0284	-0.5551	-0.6401	-0.4286	-0.571	0.221	0.403	-0.0096	-0.006	-0.015	0.001	-1.0	0.414	0.6	0.0	0.0
-0.0009	-0.0237	-0.0053	-0.0899	0.0646	0.0008	-0.581	-0.6264	-0.2967	-0.57	0.221	0.403	-0.0101	-0.008	-0.016	0.001	-1.0	0.081	0.1	0.0	0.0
0.0231	-0.0517	-0.0433	-0.0654	0.0864	-0.0026	-0.5292	-0.6401	-0.4945	-0.568	0.221	0.403	-0.0095	-0.006	-0.015	0.0	-1.0	0.081	0.2	0.0	0.0
-0.0069	-0.0297	-0.0063	-0.0194	0.0444	-0.0122	-0.5421	-0.6811	-0.5604	-0.563	0.221	0.403	-0.0102	-0.006	-0.016	0.002	-1.0	0.2475	0.5	0.0	0.0
0.0031	-0.0227	-0.0163	0.0103	0.0607	-0.0125	-0.5551	-0.6538	-0.3956	-0.562	0.221	0.403	-0.0099	-0.006	-0.015	0.002	-1.0	0.0801	0.1	0.0	0.0
-0.0579	0.0043	0.0177	0.0	-0.0031	-0.0184	-0.5292	-0.7084	-0.4945	-0.557	0.221	0.402	-0.011	-0.005	-0.017	-0.001	-1.0	0.261	0.5	0.0	-0.1
